childpartyid,placementepisodeid,provbegindt,provenddate,livingarrangedesc,fc_placement_sequence,providerctgydesc
100109,600169,04/06/2021,06/15/2021,Group Home,1,Group Provider
100109,600169,06/15/2021,08/21/2021,Family Foster Care,2,Family Provider
100109,600169,08/21/2021,11/12/2021,Relative Foster Care,3,Relative Provider
100152,600170,06/06/2020,09/22/2020,Family Foster Care,1,Family Provider
100152,600170,09/22/2020,01/13/2021,Relative Foster Care,2,Relative Provider
100152,600170,01/13/2021,05/17/2021,Relative Foster Care,3,Relative Provider
100023,600171,04/15/2020,04/12/2021,Family Foster Care,1,Family Provider
100140,600172,09/05/2020,12/18/2020,Family Foster Care,1,Family Provider
100140,600172,12/18/2020,03/27/2021,Relative Foster Care,2,Relative Provider
100140,600172,03/27/2021,07/07/2021,Family Foster Care,3,Family Provider
100027,600173,09/09/2020,11/13/2020,Relative Foster Care,1,Relative Provider
100027,600173,11/13/2020,01/03/2021,Relative Foster Care,2,Relative Provider
100027,600173,01/03/2021,02/24/2021,Relative Foster Care,3,Relative Provider
100036,600174,10/28/2021,02/02/2022,Trial Home Visit,1,Trial Provider
100036,600174,02/02/2022,,Family Foster Care,2,Family Provider
100058,600175,05/17/2021,08/07/2021,Relative Foster Care,1,Relative Provider
100058,600175,08/07/2021,11/09/2021,Family Foster Care,2,Family Provider
100058,600175,11/09/2021,02/09/2022,Family Foster Care,3,Family Provider
100058,600175,02/09/2022,05/06/2022,Pre-Adoptive Home,4,Pre-Adoptive Provider
100058,600175,05/06/2022,07/23/2022,Family Foster Care,5,Family Provider
100063,600176,05/01/2022,,Family Foster Care,1,Family Provider
100071,600177,01/02/2022,05/12/2022,Pre-Adoptive Home,1,Pre-Adoptive Provider
100071,600177,05/12/2022,09/13/2022,Relative Foster Care,2,Relative Provider
100071,600177,09/13/2022,,Institutional Care,3,Institutional Provider
100007,600178,04/11/2022,08/22/2022,Relative Foster Care,1,Relative Provider
100007,600178,08/22/2022,01/20/2023,Group Home,2,Group Provider
100029,600179,02/09/2022,05/26/2022,Family Foster Care,1,Family Provider
100029,600179,05/26/2022,08/29/2022,Relative Foster Care,2,Relative Provider
100029,600179,08/29/2022,11/30/2022,Institutional Care,3,Institutional Provider
100164,600180,05/27/2021,10/19/2021,Family Foster Care,1,Family Provider
100164,600180,10/19/2021,03/23/2022,Relative Foster Care,2,Relative Provider
100164,600180,03/23/2022,08/25/2022,Family Foster Care,3,Family Provider
