case_id,child_race,child_age,referral_type,screened_in,investigated,substantiated,placement,county
CW-0432,Hispanic,0,Neglect,1,1,0,0,Franklin
CW-0399,Hispanic,8,Neglect,0,0,0,0,Franklin
CW-0047,White,16,Physical Abuse,1,0,0,0,Franklin
CW-0393,Hispanic,15,Physical Abuse,1,0,0,0,Franklin
CW-0055,White,0,Neglect,1,1,0,0,Franklin
CW-0072,White,3,Emotional Abuse,1,1,0,0,Franklin
CW-0085,White,4,Sexual Abuse,0,0,0,0,Franklin
CW-0164,White,5,Neglect,0,0,0,0,Franklin
CW-0297,Black,14,Emotional Abuse,0,0,0,0,Franklin
CW-0408,Hispanic,2,Substance Exposure,0,0,0,0,Franklin
CW-0008,White,8,Physical Abuse,0,0,0,0,Franklin
CW-0074,White,9,Neglect,0,0,0,0,Franklin
CW-0268,Black,5,Emotional Abuse,1,1,0,0,Franklin
CW-0267,Black,9,Physical Abuse,1,1,0,0,Franklin
CW-0307,Black,11,Physical Abuse,1,1,1,0,Franklin
CW-0197,White,13,Substance Exposure,0,0,0,0,Franklin
CW-0403,Hispanic,9,Emotional Abuse,0,0,0,0,Franklin
CW-0427,Hispanic,8,Substance Exposure,0,0,0,0,Franklin
CW-0178,White,2,Physical Abuse,0,0,0,0,Franklin
CW-0379,Black,17,Physical Abuse,1,0,0,0,Franklin
CW-0089,White,11,Neglect,0,0,0,0,Franklin
CW-0279,Black,12,Neglect,0,0,0,0,Franklin
CW-0436,Hispanic,7,Neglect,1,1,0,0,Franklin
CW-0167,White,14,Neglect,1,0,0,0,Franklin
CW-0262,Black,8,Physical Abuse,1,1,0,0,Franklin
CW-0227,Black,8,Neglect,1,1,1,0,Franklin
CW-0042,White,3,Physical Abuse,1,1,0,0,Franklin
CW-0097,White,2,Physical Abuse,0,0,0,0,Franklin
CW-0044,White,0,Sexual Abuse,0,0,0,0,Franklin
CW-0456,Hispanic,3,Physical Abuse,0,0,0,0,Franklin
CW-0387,Hispanic,6,Physical Abuse,1,1,0,0,Franklin
CW-0254,Black,3,Emotional Abuse,1,1,0,0,Franklin
CW-0248,Black,6,Physical Abuse,0,0,0,0,Franklin
CW-0409,Hispanic,12,Neglect,1,1,1,0,Franklin
CW-0066,White,2,Neglect,0,0,0,0,Franklin
CW-0447,Hispanic,10,Neglect,1,1,1,0,Franklin
CW-0369,Black,1,Physical Abuse,1,1,0,0,Franklin
CW-0026,White,6,Neglect,1,1,1,0,Franklin
CW-0284,Black,9,Physical Abuse,1,1,1,0,Franklin
CW-0058,White,14,Neglect,1,1,0,0,Franklin
CW-0168,White,4,Physical Abuse,1,1,0,0,Franklin
CW-0381,Hispanic,6,Neglect,1,1,0,0,Franklin
CW-0411,Hispanic,17,Neglect,0,0,0,0,Franklin
CW-0270,Black,2,Emotional Abuse,1,1,0,0,Franklin
CW-0092,White,1,Neglect,1,1,0,0,Franklin
CW-0116,White,11,Substance Exposure,1,1,1,0,Franklin
CW-0498,Other,6,Neglect,1,1,0,0,Franklin
CW-0079,White,4,Neglect,1,1,0,0,Franklin
CW-0213,Black,1,Neglect,1,1,0,0,Franklin
CW-0232,Black,5,Sexual Abuse,1,1,0,0,Franklin
CW-0376,Black,9,Substance Exposure,1,1,0,0,Franklin
CW-0143,White,16,Neglect,1,0,0,0,Franklin
CW-0214,Black,7,Physical Abuse,1,1,0,0,Franklin
CW-0372,Black,9,Emotional Abuse,1,1,0,0,Franklin
CW-0366,Black,17,Sexual Abuse,1,1,0,0,Franklin
