tract_id,poverty_rate,unemployment_rate,median_income,education_bachelor_pct,food_insecurity_rate,uninsured_rate,housing_burden_pct,life_expectancy
TRACT-5339,15.0,6.9,66707.0,27.6,7.8,10.6,39.3,83.0
TRACT-5340,25.9,7.2,60772.0,22.3,14.6,16.4,24.6,77.7
TRACT-5341,17.5,9.2,44630.0,31.8,18.0,10.5,40.3,69.6
TRACT-5342,21.6,8.9,38308.0,22.2,20.3,10.1,33.9,75.4
TRACT-5343,21.9,13.8,40476.0,35.0,11.1,14.3,24.0,76.0
TRACT-5344,25.2,17.8,40444.0,14.7,25.3,16.9,38.0,77.4
TRACT-5345,28.9,5.6,38579.0,20.2,15.4,6.1,37.2,72.7
TRACT-5346,10.8,5.0,63311.0,31.7,19.1,10.4,41.6,82.1
TRACT-5347,27.7,8.8,35012.0,9.8,23.0,16.0,40.3,74.6
TRACT-5348,19.7,7.3,39698.0,16.5,20.3,12.7,32.4,78.1
TRACT-5349,22.9,4.4,47179.0,15.5,17.3,15.8,37.2,79.8
TRACT-5350,13.0,5.2,71722.0,45.0,6.1,12.3,34.3,78.5
TRACT-5351,15.2,9.6,64659.0,36.5,9.4,0.7,30.0,77.6
TRACT-5352,22.6,6.9,56220.0,32.6,13.2,18.0,32.1,74.2
TRACT-5353,20.5,8.8,38708.0,26.8,17.0,9.0,21.5,77.0
TRACT-5354,19.0,8.8,71205.0,10.7,21.5,21.1,22.3,80.0
TRACT-5355,9.9,1.4,69243.0,52.2,11.8,8.8,34.8,77.8
TRACT-5356,33.0,18.8,32349.0,10.7,29.8,21.4,46.6,75.9
TRACT-5357,22.4,6.3,68017.0,36.7,18.1,17.0,36.3,78.8
TRACT-5358,20.0,8.1,44513.0,18.1,15.0,18.1,30.4,75.6
TRACT-5359,17.0,9.6,64650.0,52.3,6.8,8.8,37.7,73.5
TRACT-5360,35.4,13.7,20000,19.5,14.4,18.3,37.0,71.5
TRACT-5361,21.7,12.1,52846.0,48.2,17.5,11.8,46.2,76.4
TRACT-5362,22.2,0.0,58448.0,27.9,13.8,8.5,38.6,70.5
TRACT-5363,49.5,23.1,20000,24.6,35.4,20.7,60.0,65.0
TRACT-5364,24.0,14.4,49993.0,11.8,19.7,14.4,29.3,69.3
TRACT-5365,6.1,2.1,91274.0,60.0,11.5,3.0,23.4,84.6
TRACT-5366,24.1,11.5,46845.0,36.6,30.3,16.9,38.9,77.0
TRACT-5367,13.4,0.0,72325.0,27.9,18.2,11.7,37.9,76.2
TRACT-5368,29.3,6.1,49425.0,23.1,25.6,15.1,42.8,75.7
TRACT-5369,21.8,10.9,69796.0,29.5,23.7,12.9,42.6,83.3
TRACT-5370,10.0,0.0,73859.0,28.9,6.8,5.7,20.6,83.1
TRACT-5371,29.3,16.1,64152.0,25.3,7.5,25.2,39.9,74.9
TRACT-5372,0.0,0.0,97490.0,45.0,0.0,0.0,26.5,85.0
TRACT-5373,20.1,18.9,61232.0,49.8,23.4,19.3,26.9,73.2
TRACT-5374,10.6,6.3,67744.0,37.4,10.5,11.5,35.2,79.1
TRACT-5375,15.1,0.0,74762.0,28.6,7.2,13.7,34.1,80.0
TRACT-5376,27.5,7.4,36563.0,14.1,29.6,22.3,35.4,76.2
TRACT-5377,21.7,8.9,54686.0,36.5,16.2,6.4,37.6,75.7
TRACT-5378,6.5,1.2,72826.0,35.8,11.0,6.4,27.6,79.1
TRACT-5379,23.5,11.3,52380.0,41.5,16.5,5.2,36.4,78.3
TRACT-5380,18.2,9.2,31529.0,8.9,19.2,17.4,26.7,76.6
TRACT-5381,10.9,1.4,69867.0,36.4,12.4,13.1,39.5,81.5
TRACT-5382,14.4,10.1,40906.0,22.6,19.6,15.9,37.4,82.1
TRACT-5383,10.6,8.2,65831.0,44.0,11.4,13.5,40.6,80.8
TRACT-5384,15.9,6.0,50025.0,35.9,20.9,11.1,18.4,75.7
TRACT-5385,22.3,6.1,22789.0,8.6,7.9,13.7,31.4,74.4
TRACT-5386,31.0,9.3,20000,5.0,26.4,10.3,38.0,70.9
TRACT-5387,18.3,5.9,90273.0,41.5,14.3,8.9,10.5,82.6
TRACT-5388,0.0,1.8,91521.0,30.3,0.0,11.4,14.0,84.3
TRACT-5389,10.3,7.6,62846.0,38.6,0.5,9.9,30.6,75.3
TRACT-5390,7.7,3.9,66962.0,35.9,1.5,1.4,41.3,77.3
TRACT-5391,13.7,5.9,59058.0,41.7,9.5,14.2,24.2,80.3
TRACT-5392,15.9,6.6,57818.0,34.7,7.5,4.5,46.2,78.9
TRACT-5393,14.4,9.0,59770.0,7.7,13.9,10.3,30.2,75.6
TRACT-5394,15.8,11.3,55490.0,24.2,16.0,9.7,38.9,77.0
TRACT-5395,21.6,6.8,33073.0,25.0,19.1,17.3,40.8,71.2
TRACT-5396,19.2,1.3,62189.0,20.0,17.3,16.3,26.2,76.7
TRACT-5397,30.2,6.4,43984.0,24.2,26.4,8.4,38.8,77.0
TRACT-5398,31.6,10.0,28353.0,34.5,15.6,15.7,43.7,73.6
TRACT-5399,8.7,8.2,81932.0,58.4,4.9,4.6,36.2,85.0
TRACT-5400,17.9,2.5,54219.0,36.9,18.2,18.3,46.7,75.7
TRACT-5401,9.0,0.5,70787.0,44.8,18.4,10.8,26.8,79.3
TRACT-5402,30.3,9.6,32976.0,17.4,22.1,26.9,32.9,79.9
TRACT-5403,11.4,2.8,58859.0,35.8,11.2,15.2,22.1,74.0
TRACT-5404,14.3,7.7,41868.0,20.8,16.6,7.0,24.1,74.2
TRACT-5405,16.6,9.1,93072.0,57.3,5.9,1.2,30.3,83.8
TRACT-5406,24.6,8.4,57248.0,42.9,25.8,10.0,40.4,72.7
TRACT-5407,9.9,0.6,67309.0,18.6,14.1,9.1,18.1,80.2
TRACT-5408,33.3,14.6,20000,9.7,24.1,14.7,29.3,71.3
TRACT-5409,30.4,9.4,20000,6.1,29.3,9.1,41.7,73.3
TRACT-5410,23.4,11.9,52857.0,11.6,21.3,22.6,32.3,76.6
TRACT-5411,7.9,9.1,63121.0,48.2,7.6,11.5,24.3,84.8
TRACT-5412,0.0,2.4,61926.0,18.4,14.6,11.3,10.0,81.1
TRACT-5413,11.8,7.9,89523.0,50.4,12.5,12.4,20.1,82.1
TRACT-5414,27.2,9.0,31100.0,31.7,21.8,9.7,36.2,73.0
TRACT-5415,17.4,7.5,52949.0,43.7,19.1,20.7,21.0,77.6
TRACT-5416,29.7,14.7,24502.0,7.1,27.7,17.2,44.5,73.5
TRACT-5417,16.8,8.0,46019.0,40.8,17.7,19.9,29.7,75.5
TRACT-5418,14.8,3.8,70593.0,41.9,9.7,7.9,32.6,76.5
TRACT-5419,13.9,12.1,50469.0,21.0,26.6,1.8,21.4,82.7
TRACT-5420,13.9,8.4,89449.0,36.7,8.2,11.7,27.3,78.1
TRACT-5421,16.7,2.8,65104.0,40.6,12.7,9.5,35.1,76.4
TRACT-5422,14.9,6.7,79853.0,38.8,11.6,9.4,26.4,76.3
TRACT-5423,8.8,7.9,62637.0,32.3,7.6,0.7,23.3,83.1
TRACT-5424,13.9,4.1,57507.0,25.5,13.8,8.1,28.0,76.5
TRACT-5425,21.6,10.4,51106.0,32.8,16.6,20.1,38.7,80.1
TRACT-5426,17.2,8.7,47102.0,24.6,19.3,10.7,43.2,76.8
TRACT-5427,33.8,9.8,24790.0,9.5,29.7,23.0,40.8,70.9
TRACT-5428,17.7,10.5,65563.0,32.5,12.2,12.0,32.8,78.3
TRACT-5429,13.5,12.6,52573.0,42.3,20.4,17.3,46.3,79.5
TRACT-5430,14.8,5.0,52399.0,34.9,5.6,1.3,42.0,80.3
TRACT-5431,22.1,12.7,56746.0,27.4,9.5,19.4,38.0,72.5
TRACT-5432,19.4,6.8,51557.0,23.1,18.7,11.9,23.7,78.3
TRACT-5433,22.9,4.6,53584.0,36.0,16.4,14.4,29.3,71.3
TRACT-5434,23.2,9.5,51570.0,24.3,16.5,14.7,34.4,78.1
TRACT-5435,13.8,1.4,66134.0,19.5,0.0,1.2,23.2,76.0
TRACT-5436,2.6,1.8,98309.0,55.6,5.0,10.2,19.0,80.0
TRACT-5437,24.8,6.5,48784.0,24.9,16.7,11.6,44.0,71.0
TRACT-5438,20.7,7.9,40877.0,21.9,18.7,13.2,35.8,79.5
TRACT-5439,12.0,7.4,42211.0,26.5,2.8,11.5,25.9,78.0
TRACT-5440,3.4,3.0,91416.0,50.4,5.6,5.6,31.4,83.8
TRACT-5441,11.8,3.7,57775.0,28.5,5.4,0.0,25.9,79.1
TRACT-5442,19.9,12.5,33395.0,13.3,9.7,13.3,33.0,74.2
TRACT-5443,18.4,5.6,41710.0,37.5,19.9,11.9,22.5,75.9
TRACT-5444,23.7,10.6,57946.0,41.9,17.4,11.5,33.0,75.2
TRACT-5445,27.0,9.7,20000,15.6,20.9,13.3,24.1,76.5
TRACT-5446,25.0,6.4,46140.0,13.1,11.6,1.7,40.1,77.3
TRACT-5447,14.9,6.7,83591.0,33.5,5.8,9.8,32.3,78.1
TRACT-5448,3.7,0.3,90047.0,50.5,0.0,0.0,15.1,81.7
TRACT-5449,40.1,14.7,20000,5.0,40.0,20.6,41.7,71.1
TRACT-5450,4.8,6.3,77203.0,29.5,4.2,0.0,18.6,74.7
TRACT-5451,13.5,4.7,55798.0,22.2,8.1,16.0,39.1,77.2
TRACT-5452,29.4,10.9,31274.0,9.2,25.6,20.9,28.9,73.8
TRACT-5453,12.8,3.0,64873.0,12.9,9.4,19.6,29.3,74.9
TRACT-5454,23.5,10.3,40935.0,15.9,18.6,11.2,33.8,77.1
TRACT-5455,26.2,6.2,36085.0,35.3,29.2,18.9,50.7,77.7
TRACT-5456,16.7,0.4,58979.0,16.4,14.4,20.7,30.5,74.9
TRACT-5457,6.3,0.0,52949.0,42.3,13.1,7.0,24.7,79.1
TRACT-5458,17.9,12.9,58618.0,10.2,20.7,2.9,27.4,73.5
TRACT-5459,18.4,3.7,37731.0,9.2,20.1,12.0,36.0,79.4
TRACT-5460,20.4,10.9,37361.0,19.3,11.2,15.2,40.9,78.1
TRACT-5461,17.7,11.1,52483.0,21.5,17.8,16.7,48.4,78.7
TRACT-5462,7.0,0.7,58474.0,29.6,3.2,13.7,22.7,80.9
TRACT-5463,19.5,9.8,38284.0,20.1,14.4,12.0,34.5,77.7
TRACT-5464,13.3,9.3,66506.0,49.7,0.0,3.2,40.2,72.0
TRACT-5465,32.8,13.5,20000,11.4,19.7,12.5,54.2,70.3
TRACT-5466,8.4,11.8,81621.0,37.1,5.1,6.5,38.0,77.7
TRACT-5467,5.3,8.1,72142.0,36.7,10.6,5.5,10.0,80.1
TRACT-5468,30.4,20.1,28932.0,16.8,30.3,22.6,43.9,68.1
TRACT-5469,13.8,7.3,42165.0,18.3,22.5,11.0,19.1,72.2
TRACT-5470,17.9,5.9,44496.0,25.3,16.8,13.2,34.9,73.1
TRACT-5471,11.6,4.6,65967.0,42.6,7.3,4.1,39.7,79.3
TRACT-5472,4.0,2.0,63742.0,20.0,0.3,0.6,37.2,82.6
TRACT-5473,31.8,16.7,27570.0,20.3,24.2,12.4,33.4,75.6
TRACT-5474,5.8,4.5,84766.0,48.8,9.2,0.5,28.7,80.8
TRACT-5475,8.2,0.0,80585.0,23.3,0.0,15.2,13.4,78.6
TRACT-5476,18.7,8.5,40254.0,14.2,20.3,11.9,32.1,70.2
TRACT-5477,12.3,9.1,54457.0,18.2,14.3,13.7,30.7,76.4
TRACT-5478,25.5,16.4,55175.0,13.2,34.6,11.2,26.7,76.5
TRACT-5479,17.1,9.0,73454.0,45.9,9.0,10.9,39.5,81.1
TRACT-5480,29.2,14.9,43506.0,18.3,14.6,17.8,35.4,77.5
TRACT-5481,9.3,3.6,65201.0,41.9,13.9,9.1,29.6,83.7
TRACT-5482,0.4,4.5,99295.0,60.0,8.1,1.1,17.9,84.9
TRACT-5483,12.1,5.2,45834.0,11.6,14.2,7.9,21.7,77.0
TRACT-5484,21.0,8.1,52286.0,27.7,15.3,12.8,27.2,75.0
TRACT-5485,0.0,0.0,73169.0,31.3,10.4,5.3,20.7,78.9
TRACT-5486,20.9,15.1,46711.0,16.5,11.2,14.0,26.9,77.9
TRACT-5487,7.9,0.0,81165.0,26.3,11.4,13.6,18.5,80.5
TRACT-5488,31.9,11.2,52078.0,23.8,17.3,17.0,41.3,77.0
TRACT-5489,26.9,12.4,47568.0,26.9,24.2,13.6,29.9,75.6
TRACT-5490,44.9,20.3,20000,16.7,22.0,20.3,54.6,67.2
TRACT-5491,12.1,5.3,58537.0,21.5,6.1,0.0,20.0,78.1
TRACT-5492,28.1,9.2,22181.0,29.1,15.6,15.5,33.3,71.6
TRACT-5493,21.9,11.0,64332.0,39.3,17.4,17.0,27.3,80.1
TRACT-5494,23.3,11.6,52887.0,12.6,12.0,13.9,34.9,77.2
TRACT-5495,19.1,7.7,69882.0,38.4,18.7,19.4,42.0,78.3
TRACT-5496,25.3,11.5,55994.0,51.6,13.2,9.6,50.6,76.5
TRACT-5497,13.7,4.0,75742.0,42.8,22.1,11.3,35.9,83.4
TRACT-5498,3.7,0.0,85102.0,35.3,3.7,1.6,20.1,78.8
TRACT-5499,5.2,4.9,78689.0,48.3,10.1,9.5,30.7,78.4
TRACT-5500,13.0,7.2,75721.0,43.9,10.4,8.5,31.1,76.1
